"ID"	"Acc"	"best.pop"
"mtCR.mix-2"	"SER21-00174"	"mtCR.sound"
"mtCR.mix-2"	"SER21-00797"	"mtCR.sound"
"mtCR.mix-2"	"SER21-00897"	"mtCR.sound"
"mtCR.mix-2"	"SER21-00938"	"mtCR.sound"
"mtCR.mix-2"	"SER21-00939"	"mtCR.sound"
"mtCR.mix-2"	"SER21-00942"	"mtCR.sound"
"mtCR.mix-2"	"SER21-01136"	"mtCR.sound"
"mtCR.mix-2"	"SER21-01139"	"mtCR.sound"
"mtCR.mix-2"	"SER21-01140"	"mtCR.sound"
"mtCR.mix-2"	"SER21-01210"	"mtCR.sound"
"mtCR.mix-2"	"SER21-01281"	"mtCR.sound"
"mtCR.mix-2"	"SER12-0284"	"mtCR.sound"
"mtCR.mix-2"	"SER21-01282"	"mtCR.sound"
"mtCR.pub-3"	"DQ845448.1"	"mtCR.ocean"
"mtCR.pub-3"	"JN944260.1"	"mtCR.ocean"
"mtCR.pub-3"	"JN944261.1"	"mtCR.ocean"
"mtCR.pub-9"	"DQ845449.1"	"mtCR.outer"
"mtCR.pub-10"	"GQ504040.1"	"mtCR.inner"
"mtCR.pub-1"	"GQ504049.1"	"mtCR.inner"
"mtCR.pub-1"	"JN944249.1"	"mtCR.inner"
"mtCR.pub-1"	"JN944250.1"	"mtCR.inner"
"mtCR.pub-1"	"JN944257.1"	"mtCR.inner"
"mtCR.mix-5"	"GQ504051.1"	"mtCR.sound"
"mtCR.mix-5"	"SER10-0189"	"mtCR.sound"
"mtCR.mix-5"	"SER10-0239"	"mtCR.sound"
"mtCR.mix-5"	"SER10-0268"	"mtCR.sound"
"mtCR.mix-5"	"SER10-0516"	"mtCR.sound"
"mtCR.mix-5"	"SER11-0944"	"mtCR.sound"
"mtCR.mix-5"	"SER12-0050"	"mtCR.sound"
"mtCR.mix-5"	"SER18-00077"	"mtCR.sound"
"mtCR.mix-5"	"SER19-00352"	"mtCR.sound"
"mtCR.mix-5"	"SER19-00375"	"mtCR.sound"
"mtCR.mix-5"	"SER19-00438"	"mtCR.sound"
"mtCR.mix-5"	"SER19-00454"	"mtCR.sound"
"mtCR.mix-5"	"SER19-00458"	"mtCR.sound"
"mtCR.mix-5"	"SER19-00896"	"mtCR.sound"
"mtCR.mix-5"	"SER19-00917"	"mtCR.sound"
"mtCR.mix-5"	"SER20-00172"	"mtCR.sound"
"mtCR.mix-5"	"SER20-00179"	"mtCR.sound"
"mtCR.mix-5"	"SER20-00265"	"mtCR.sound"
"mtCR.mix-5"	"SER20-00266"	"mtCR.sound"
"mtCR.mix-5"	"SER21-01212"	"mtCR.sound"
"mtCR.mix-5"	"SER21-01213"	"mtCR.sound"
"mtCR.mix-5"	"SER21-01214"	"mtCR.sound"
"mtCR.mix-5"	"SER16-00048"	"mtCR.sound"
"mtCR.pub-11"	"GQ504054.1"	"mtCR.ocean"
"mtCR.pub-12"	"GQ504060.1"	"mtCR.inner"
"mtCR.mix-8"	"GQ504062.1"	"mtCR.sound"
"mtCR.mix-8"	"SER10-0085"	"mtCR.sound"
"mtCR.mix-8"	"SER10-0230"	"mtCR.sound"
"mtCR.mix-8"	"SER17-00046"	"mtCR.sound"
"mtCR.mix-8"	"SER20-00183"	"mtCR.sound"
"mtCR.pub-13"	"GQ504063.1"	"mtCR.sound"
"mtCR.pub-14"	"GQ504064.1"	"mtCR.inner"
"mtCR.pub-15"	"GQ504065.1"	"mtCR.ocean"
"mtCR.pub-16"	"GQ504067.1"	"mtCR.outer"
"mtCR.pub-5"	"GQ504068.1"	"mtCR.inner"
"mtCR.pub-5"	"JN944264.1"	"mtCR.inner"
"mtCR.pub-17"	"GQ504071.1"	"mtCR.outer"
"mtCR.pub-18"	"GQ504073.1"	"mtCR.ocean"
"mtCR.pub-19"	"GQ504074.1"	"mtCR.outer"
"mtCR.pub-20"	"GQ504077.1"	"mtCR.ocean"
"mtCR.mix-10"	"GQ504085.1"	"mtCR.outer"
"mtCR.mix-10"	"JN944263.1"	"mtCR.outer"
"mtCR.mix-10"	"SER19-00888"	"mtCR.outer"
"mtCR.pub-21"	"GQ504087.1"	"mtCR.outer"
"mtCR.pub-22"	"GQ504088.1"	"mtCR.ocean"
"mtCR.pub-23"	"GQ504090.1"	"mtCR.ocean"
"mtCR.pub-6"	"GQ504096.1"	"mtCR.outer"
