       Accession     P4     P6     P7    P10     Type
110   SER11-1463    4.0   61.0  251.0   64.0  Partial
111   SER11-1482  202.0  149.0  351.0  108.0 Complete
112   SER11-1922  674.0  736.0 1290.0 1025.0 Complete
113   SER11-2196  316.0  354.0  443.0  463.0 Complete
114   SER11-2252    2.0    1.0    2.0 2982.0  Partial
115   SER11-2358  154.0    5.0  286.0  108.0  Partial
116   SER11-2425    0.0    6.0    0.0 1434.0  Partial
117   SER11-2435   65.0  296.0  785.0  275.0 Complete
118   SER11-2459   98.0  166.0  391.0  472.0 Complete
119   SER11-2466  185.0  274.0  588.0  322.0 Complete
120   SER11-2488  225.0  327.0  546.0  414.0 Complete
121   SER11-2497  211.0  224.0  350.0  406.0 Complete
122   SER11-2498  232.0  322.0  468.0  404.0 Complete
123   SER11-2547  431.0  454.0  782.0  670.0 Complete
124   SER12-0047  408.0  361.0  962.0  579.0 Complete
125   SER12-0050  487.0  656.0  982.0  909.0 Complete
126   SER12-0149  133.0  626.0  185.0  805.0 Complete
127   SER12-0198   28.0   44.0  170.0   75.0 Complete
128   SER12-0202   98.0  134.0  206.5  175.0 Complete
129   SER12-0243  525.0  612.5  943.0  873.0 Complete
130   SER12-0244  242.0  585.0  550.5  365.0 Complete
131   SER12-0254   99.0  134.0  192.0  148.0 Complete
132   SER12-0271    0.0   21.0    2.0  709.0  Partial
133   SER12-0274   80.0  572.0  868.0  989.0 Complete
134   SER12-0276  283.0  848.0  687.0 1009.0 Complete
135   SER12-0284    0.0 1315.0    0.0   12.5  Partial
136   SER12-0309  132.0  210.0  494.0  299.0 Complete
137   SER12-0654  165.0  298.0  578.0  279.0 Complete
138   SER12-0678  454.0  641.0    0.0   14.0  Partial
139   SER12-0679    0.0  605.0    0.0  759.0  Partial
140   SER12-0735  492.0    0.0   83.0    0.0  Partial
141   SER13-0013  413.0  514.0  991.0  735.0 Complete
142   SER13-0023  681.0  258.0  262.0  792.0 Complete
143   SER13-0024  404.0  479.0  711.0  635.0 Complete
144   SER13-0041  318.0  426.0  621.0  523.0 Complete
145   SER13-0056   62.0  103.0  207.0  131.0 Complete
146   SER13-0057  381.0  505.0  889.0  807.0 Complete
147   SER13-0092  160.0  217.0  448.0  347.0 Complete
148   SER13-0161   80.5  184.0  451.0  197.0 Complete
149   SER13-0304  235.0  476.0  510.0  548.0 Complete
150   SER13-0333  378.0  367.0  298.0  469.0 Complete
151   SER13-0408  255.0  347.0  295.0  231.0 Complete
152   SER13-0409    3.0 1031.0  147.0 1227.0  Partial
153   SER13-0419   92.0  230.0  541.0  426.0 Complete
154   SER13-0420   19.0   85.0  116.0  210.0 Complete
155   SER13-0527  137.0  156.0  383.0  251.0 Complete
156   SER13-0635 1105.0    1.0    0.0    1.0  Partial
157   SER13-0641    1.0 1211.0    2.0    7.0  Partial
158  SER14-00119  175.0  191.0  283.0  270.0 Complete
159  SER14-00138   39.0  282.0  309.0  260.0 Complete
160  SER14-00205   50.0   35.0  251.0  144.0 Complete
